' ',1910,CONSEJO COMUNITARIO DE ABASTO CADEREYTA AC,CCA940406331,GUDELIO J. LEAL,S/N,CADEREYTA JIMENEZ,COL. NUEVA CADEREYTA,Nuevo León,67483,2
' ',1917,"CONSEJO COMUNITARIO DE ABASTO SABINAS HIDALGO, A.C.",CCA940406BS2,CARR.MONTERREY LAREDO KM. 96.3,S/N,"SABINAS HIDALGO, N.L.",SABINAS HIDALGO,Nuevo León,65200,2
' ',1911,CONSEJO COMUNITARIO DE ABASTO DR ARROYO AC,CCA940323M53,CARRETERA DR. ARROYO MATEHUALA KM 4,S/N,DR. ARROYO N.L.,DR. ARROYO,Nuevo León,67901,2
' ',1914,NULL,NULL,,,municipio,localidad,Nuevo León,,2
' ',1915,CONSEJO COMUNITARIO DE ABASTO MELCHOR OCAMPO A.C.,CCA940406N88,MATAMOROS PTE.,710,MELCHOR OCAMPO,MELCHOR OCAMPO,Nuevo León,65950,2
' ',1916,"CONSEJO COMUNITARIO DE ABASTO, MONTEMORELOS, A.C.",CCA9403221C1,CARR. MONTEMORELOS-GRAL TERAN KM 1,S/N,MONTEMORELOS,MONTEMORELOS,Nuevo León,67500,2
' ',1912,"CONSEJO COMUNITARIO DE ABASTO  GALEANA, A.C.",CCA9403223T3,CARRETERA SALTILLO-MATEHUALA KM.115,,GALEANA,EL POTOSI.,Nuevo León,67850,2
' ',1919,CONSEJO COMUNITARIO DE ABASTO SANTA ANA A.C.,CCA9403236UA,CARRETERA 57 KM. 60,S/N,DOCTOR ARROYO,SANTA ANA,Nuevo León,67921,2
' ',1913,"CONSEJO COMUNITARIO DE ABASTO ITURBIDE, A.C.",CCA9403224K9,CARR. LINARES - SAN ROBERTO KM. 35,S/N,ITURBIDE,ITURBIDE,Nuevo León,67830,2
' ',1914,CONSEJO COMUNITARIO DE ABASTO,NULL,,,municipio,localidad,Nuevo León,,0
