id,year,clave_con,fecha,semana,dias_tra,id_puesto,exp,cta,monto,tipo,trab
,2024,813,2024-01-03,1,0,6,12758,12,243.33,percepcion,0
,2024,813,2024-01-03,1,0,6,12758,7,486.67,percepcion,0
,2024,813,2024-01-03,1,0,6,12758,2,60.83,percepcion,0
,2024,816,2024-01-04,1,0,2,23152,58,163.07,deduccion,0
,2024,816,2024-01-04,1,0,2,23152,82,1245.50,informativo,0
,2024,816,2024-01-04,1,0,2,23152,98,163.07,informativo,0
,2024,816,2024-01-04,1,0,2,23152,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,2,23152,1,2170.00,percepcion,7
,2024,816,2024-01-04,1,0,2,21142,57,105.90,deduccion,0
,2024,816,2024-01-04,1,0,2,21142,58,163.07,deduccion,0
,2024,816,2024-01-04,1,0,2,21142,82,1245.50,informativo,0
,2024,816,2024-01-04,1,0,2,21142,98,163.07,informativo,0
,2024,816,2024-01-04,1,0,2,21142,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,2,21142,1,2170.00,percepcion,7
,2024,816,2024-01-04,1,0,2,20141,57,105.98,deduccion,0
,2024,816,2024-01-04,1,0,2,20141,58,163.07,deduccion,0
,2024,816,2024-01-04,1,0,2,20141,82,1245.50,informativo,0
,2024,816,2024-01-04,1,0,2,20141,98,163.07,informativo,0
,2024,816,2024-01-04,1,0,2,20141,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,2,20141,1,2170.00,percepcion,7
,2024,816,2024-01-04,1,0,2,12699,57,106.23,deduccion,0
,2024,816,2024-01-04,1,0,2,12699,58,163.07,deduccion,0
,2024,816,2024-01-04,1,0,2,12699,82,1245.50,informativo,0
,2024,816,2024-01-04,1,0,2,12699,98,163.07,informativo,0
,2024,816,2024-01-04,1,0,2,12699,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,2,12699,1,2170.00,percepcion,7
,2024,816,2024-01-04,1,0,2,12606,57,106.23,deduccion,0
,2024,816,2024-01-04,1,0,2,12606,58,163.07,deduccion,0
,2024,816,2024-01-04,1,0,2,12606,82,1245.50,informativo,0
,2024,816,2024-01-04,1,0,2,12606,98,163.07,informativo,0
,2024,816,2024-01-04,1,0,2,12606,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,2,12606,1,2170.00,percepcion,7
,2024,816,2024-01-04,1,0,2,12603,57,106.23,deduccion,0
,2024,816,2024-01-04,1,0,2,12603,58,163.07,deduccion,0
,2024,816,2024-01-04,1,0,2,12603,83,559.11,deduccion,0
,2024,816,2024-01-04,1,0,2,12603,82,1245.50,informativo,0
,2024,816,2024-01-04,1,0,2,12603,98,163.07,informativo,0
,2024,816,2024-01-04,1,0,2,12603,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,2,12603,1,2170.00,percepcion,7
,2024,816,2024-01-04,1,0,2,12594,57,106.31,deduccion,0
,2024,816,2024-01-04,1,0,2,12594,58,163.07,deduccion,0
,2024,816,2024-01-04,1,0,2,12594,82,1245.50,informativo,0
,2024,816,2024-01-04,1,0,2,12594,98,163.07,informativo,0
,2024,816,2024-01-04,1,0,2,12594,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,2,12594,1,2170.00,percepcion,7
,2024,816,2024-01-04,1,0,5,23128,57,75.44,deduccion,0
,2024,816,2024-01-04,1,0,5,23128,58,124.99,deduccion,0
,2024,816,2024-01-04,1,0,5,23128,82,1139.32,informativo,0
,2024,816,2024-01-04,1,0,5,23128,98,124.99,informativo,0
,2024,816,2024-01-04,1,0,5,23128,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,5,23128,1,1820.00,percepcion,7
,2024,816,2024-01-04,1,0,5,22201,57,90.89,deduccion,0
,2024,816,2024-01-04,1,0,5,22201,58,124.99,deduccion,0
,2024,816,2024-01-04,1,0,5,22201,82,1139.32,informativo,0
,2024,816,2024-01-04,1,0,5,22201,98,124.99,informativo,0
,2024,816,2024-01-04,1,0,5,22201,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,5,22201,1,1820.00,percepcion,7
,2024,816,2024-01-04,1,0,5,12769,57,91.17,deduccion,0
,2024,816,2024-01-04,1,0,5,12769,58,124.99,deduccion,0
,2024,816,2024-01-04,1,0,5,12769,82,1139.32,informativo,0
,2024,816,2024-01-04,1,0,5,12769,98,124.99,informativo,0
,2024,816,2024-01-04,1,0,5,12769,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,5,12769,1,1820.00,percepcion,7
,2024,816,2024-01-04,1,0,5,12659,57,91.24,deduccion,0
,2024,816,2024-01-04,1,0,5,12659,58,124.99,deduccion,0
,2024,816,2024-01-04,1,0,5,12659,82,1139.32,informativo,0
,2024,816,2024-01-04,1,0,5,12659,98,124.99,informativo,0
,2024,816,2024-01-04,1,0,5,12659,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,5,12659,1,1820.00,percepcion,7
,2024,816,2024-01-04,1,0,6,12768,57,105.78,deduccion,0
,2024,816,2024-01-04,1,0,6,12768,58,138.77,deduccion,0
,2024,816,2024-01-04,1,0,6,12768,82,1103.93,informativo,0
,2024,816,2024-01-04,1,0,6,12768,98,138.77,informativo,0
,2024,816,2024-01-04,1,0,6,12768,99,0.00,informativo,0
,2024,816,2024-01-04,1,7,6,12768,1,1703.33,percepcion,7
,2024,813,2024-01-03,1,0,5,23550,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,5,23550,1,1820.00,percepcion,7
,2024,813,2024-01-03,1,0,5,22348,57,48.32,deduccion,0
,2024,813,2024-01-03,1,0,5,22348,58,124.99,deduccion,0
,2024,813,2024-01-03,1,0,5,22348,82,1139.32,informativo,0
,2024,813,2024-01-03,1,0,5,22348,98,124.99,informativo,0
,2024,813,2024-01-03,1,0,5,22348,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,5,22348,1,1820.00,percepcion,7
,2024,813,2024-01-03,1,0,5,12725,57,48.61,deduccion,0
,2024,813,2024-01-03,1,0,5,12725,58,124.99,deduccion,0
,2024,813,2024-01-03,1,0,5,12725,82,1139.32,informativo,0
,2024,813,2024-01-03,1,0,5,12725,98,124.99,informativo,0
,2024,813,2024-01-03,1,0,5,12725,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,5,12725,1,1820.00,percepcion,7
,2024,813,2024-01-03,1,0,6,13767,57,45.39,deduccion,0
,2024,813,2024-01-03,1,0,6,13767,58,138.77,deduccion,0
,2024,813,2024-01-03,1,0,6,13767,82,1103.93,informativo,0
,2024,813,2024-01-03,1,0,6,13767,98,138.77,informativo,0
,2024,813,2024-01-03,1,0,6,13767,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,6,13767,1,1703.33,percepcion,7
,2024,813,2024-01-03,1,0,6,12758,57,45.50,deduccion,0
,2024,813,2024-01-03,1,0,6,12758,58,138.77,deduccion,0
,2024,813,2024-01-03,1,0,6,12758,82,1103.93,informativo,0
,2024,813,2024-01-03,1,0,6,12758,98,138.77,informativo,0
,2024,813,2024-01-03,1,0,6,12758,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,6,12758,1,1703.33,percepcion,7
,2024,813,2024-01-03,1,0,7,12764,57,49.86,deduccion,0
,2024,813,2024-01-03,1,0,7,12764,58,130.07,deduccion,0
,2024,813,2024-01-03,1,0,7,12764,82,1153.48,informativo,0
,2024,813,2024-01-03,1,0,7,12764,98,130.07,informativo,0
,2024,813,2024-01-03,1,0,7,12764,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,7,12764,1,1866.67,percepcion,7
,2024,813,2024-01-03,1,0,7,12560,57,49.92,deduccion,0
,2024,813,2024-01-03,1,0,7,12560,58,130.07,deduccion,0
,2024,813,2024-01-03,1,0,7,12560,82,1153.48,informativo,0
,2024,813,2024-01-03,1,0,7,12560,98,130.07,informativo,0
,2024,813,2024-01-03,1,0,7,12560,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,7,12560,1,1866.67,percepcion,7
,2024,813,2024-01-03,1,0,8,12562,57,46.86,deduccion,0
,2024,813,2024-01-03,1,0,8,12562,58,117.38,deduccion,0
,2024,813,2024-01-03,1,0,8,12562,82,1118.09,informativo,0
,2024,813,2024-01-03,1,0,8,12562,98,117.38,informativo,0
,2024,813,2024-01-03,1,0,8,12562,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,8,12562,1,1750.00,percepcion,7
,2024,813,2024-01-03,1,0,9,12566,57,48.79,deduccion,0
,2024,813,2024-01-03,1,0,9,12566,58,124.99,deduccion,0
,2024,813,2024-01-03,1,0,9,12566,82,1139.32,informativo,0
,2024,813,2024-01-03,1,0,9,12566,98,124.99,informativo,0
,2024,813,2024-01-03,1,0,9,12566,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,9,12566,1,1820.00,percepcion,7
,2024,813,2024-01-03,1,0,11,20253,57,58.76,deduccion,0
,2024,813,2024-01-03,1,0,11,20253,58,163.07,deduccion,0
,2024,813,2024-01-03,1,0,11,20253,82,1245.50,informativo,0
,2024,813,2024-01-03,1,0,11,20253,98,163.07,informativo,0
,2024,813,2024-01-03,1,0,11,20253,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,11,20253,1,2170.00,percepcion,7
,2024,813,2024-01-03,1,0,11,12572,57,59.01,deduccion,0
,2024,813,2024-01-03,1,0,11,12572,58,163.07,deduccion,0
,2024,813,2024-01-03,1,0,11,12572,83,626.24,deduccion,0
,2024,813,2024-01-03,1,0,11,12572,82,1245.50,informativo,0
,2024,813,2024-01-03,1,0,11,12572,98,163.07,informativo,0
,2024,813,2024-01-03,1,0,11,12572,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,11,12572,1,2170.00,percepcion,7
,2024,813,2024-01-03,1,0,11,12564,57,59.01,deduccion,0
,2024,813,2024-01-03,1,0,11,12564,58,163.07,deduccion,0
,2024,813,2024-01-03,1,0,11,12564,82,1245.50,informativo,0
,2024,813,2024-01-03,1,0,11,12564,98,163.07,informativo,0
,2024,813,2024-01-03,1,0,11,12564,99,0.00,informativo,0
,2024,813,2024-01-03,1,7,11,12564,1,2170.00,percepcion,7
,2024,813,2024-01-03,1,0,6,13767,12,243.33,percepcion,0
,2024,813,2024-01-03,1,0,6,13767,7,486.67,percepcion,0
,2024,813,2024-01-03,1,0,6,13767,2,60.83,percepcion,0
,2024,813,2024-01-03,1,0,5,23550,98,124.99,informativo,0
,2024,813,2024-01-03,1,0,5,23550,82,1139.32,informativo,0
,2024,813,2024-01-03,1,0,5,23550,58,124.99,deduccion,0
,2024,813,2024-01-03,1,0,5,23550,57,48.32,deduccion,0
,2024,813,2024-01-03,1,7,5,23209,1,1820.00,percepcion,7
,2024,813,2024-01-03,1,0,5,23209,99,0.00,informativo,0
,2024,813,2024-01-03,1,0,5,23209,98,124.99,informativo,0
,2024,813,2024-01-03,1,0,5,23209,82,1139.32,informativo,0
,2024,813,2024-01-03,1,0,5,23209,58,124.99,deduccion,0
,2024,813,2024-01-03,1,0,5,23209,57,48.32,deduccion,0
,2024,813,2024-01-03,1,7,5,23227,1,1820.00,percepcion,7
,2024,813,2024-01-03,1,0,5,23227,99,0.00,informativo,0
,2024,813,2024-01-03,1,0,5,23227,98,124.99,informativo,0
,2024,813,2024-01-03,1,0,5,23227,82,1139.32,informativo,0
,2024,813,2024-01-03,1,0,5,23227,58,124.99,deduccion,0
,2024,813,2024-01-03,1,0,5,23227,57,48.32,deduccion,0
,2024,813,2024-01-03,1,7,4,12747,1,2170.00,percepcion,7
,2024,813,2024-01-03,1,0,4,12747,99,0.00,informativo,0
,2024,813,2024-01-03,1,0,4,12747,98,163.07,informativo,0
,2024,813,2024-01-03,1,0,4,12747,82,1245.50,informativo,0
,2024,813,2024-01-03,1,0,4,12747,58,163.07,deduccion,0
,2024,813,2024-01-03,1,0,4,12747,57,59.01,deduccion,0
,2024,813,2024-01-03,1,7,2,12554,1,2170.00,percepcion,7
,2024,813,2024-01-03,1,0,2,12554,99,0.00,informativo,0
,2024,813,2024-01-03,1,0,2,12554,98,163.07,informativo,0
,2024,813,2024-01-03,1,0,2,12554,82,1245.50,informativo,0
,2024,813,2024-01-03,1,0,2,12554,58,163.07,deduccion,0
,2024,813,2024-01-03,1,0,2,12554,57,59.26,deduccion,0
,2024,813,2024-01-03,1,7,2,12558,1,2170.00,percepcion,7
,2024,813,2024-01-03,1,0,2,12558,99,0.00,informativo,0
,2024,813,2024-01-03,1,0,2,12558,98,163.07,informativo,0
,2024,813,2024-01-03,1,0,2,12558,82,1245.50,informativo,0
,2024,813,2024-01-03,1,0,2,12558,58,163.07,deduccion,0
,2024,813,2024-01-03,1,0,2,12558,57,59.17,deduccion,0
,2024,813,2024-01-03,1,7,2,12565,1,2170.00,percepcion,7
,2024,813,2024-01-03,1,0,2,12565,99,0.00,informativo,0
,2024,813,2024-01-03,1,0,2,12565,98,163.07,informativo,0
,2024,813,2024-01-03,1,0,2,12565,82,1245.50,informativo,0
